DATE,NUMARTS,COUNTS,THEMES,LOCATIONS,PERSONS,ORGANIZATIONS,TONE,CAMEOEVENTIDS,SOURCES,SOURCEURLS
20240818,1,,TAX_FNCACT;TAX_FNCACT_AUTHOR;TAX_FNCACT_PHILOSOPHER;TAX_FNCACT_WIZARD;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;TAX_RELIGION;TAX_RELIGION_WITCHCRAFT;DISASTER_FIRE;TAX_ETHNICITY;TAX_ETHNICITY_BLACK;TAX_FNCACT_WRITER;,1#United States#US#US#39.828175#-98.5795#US,harry potter;anna sewell;richard scarry,hogwarts school of witchcraft,"1.36054421768707,5.4421768707483,4.08163265306122,9.52380952380952,21.4285714285714,0",,webindia123.com,https://news.webindia123.com/news/Articles/Entertainment/20240819/4226426.html
20240818,1,,TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIA;TAX_FNCACT;TAX_FNCACT_CRIMINAL;TAX_ETHNICITY;TAX_ETHNICITY_ITALIAN;TAX_WORLDLANGUAGES_ITALIAN;MEDIA_MSM;BORDER;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES_UKRAINIAN;UNGP_CRIME_VIOLENCE;CRISISLEX_C07_SAFETY;SECURITY_SERVICES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_1934_CIVILLIAN_POLICE_AND_SECURITY_SERVICES;WB_1014_CRIMINAL_JUSTICE;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIAN;TAX_FNCACT_JOURNALIST;TAX_FNCACT_AMBASSADOR;PROTEST;TAX_FNCACT_SPOKESMAN;,"1#Italy#IT#IT#42.833333#12.833333#IT;4#Kyiv, Kyyiv, Misto, Ukraine#UP#UP12#50.4333#30.5167#-1044367;4#Kursk, Kurskaya Oblast', Russia#RS#RS41#51.7373#36.1873#-2941648;1#Ukraine#UP#UP#49#32#UP;4#Sudzha, Kurskaya Oblast', Russia#RS#RS41#51.1976#35.2726#-3012550;4#Moscow, Moskva, Russia#RS#RS48#55.7522#37.6156#-2960561;1#Russia#RS#RS#60#100#RS",stefania battistini;cecilia piccioni,border of the russian federation,"-3.34928229665072,0.956937799043062,4.30622009569378,5.26315789473684,18.6602870813397,0","1193244847,1193260161,1193260165,1193260166,1193260167,1193260168,1193260170,1193260172,1193260224",indiatimes.com,https://timesofindia.indiatimes.com/world/europe/russia-opens-criminal-probe-into-italian-journalists-who-entered-kursk/articleshow/112599859.cms
20240818,1,,TAX_FNCACT;TAX_FNCACT_MAN;ARREST;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;POLITICAL_TURMOIL;TRIAL;EPU_CATS_MIGRATION_FEAR_FEAR;TAX_FNCACT_OFFICERS;TAX_FNCACT_WORKER;PROTEST;CRISISLEX_C05_NEED_OF_SHELTERS;AFFECT;REFUGEES;EPU_CATS_MIGRATION_FEAR_MIGRATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_PRISON;WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;TAX_FNCACT_LANDLORD;EPU_ECONOMY_HISTORIC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_336_NON_BANK_FINANCIAL_INSTITUTIONS;WB_1920_FINANCIAL_SECTOR_DEVELOPMENT;WB_612_HOUSING_FINANCE;WB_332_CAPITAL_MARKETS;SOC_GENERALCRIME;TAX_FNCACT_CHILDREN;TAX_FNCACT_CHILD;TAX_FNCACT_JUDGE;EXTREMISM;TERROR;ARMEDCONFLICT;WB_2433_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACIST;UNGP_FORESTS_RIVERS_OCEANS;,"4#Bristol, Bristol, City Of, United Kingdom#UK#UKB7#51.45#-2.58333#-2590919;4#Southport, Sefton, United Kingdom#UK#UKL8#53.6667#-3#-2608309",john stokes;dominic capaldi;tristan tate;andrew tate;rob ledgar;martin picton;jake hepple,somerset police;bristol crown court;mercure hotel,"-6.5,1.66666666666667,8.16666666666667,9.83333333333333,23.5,1.16666666666667",,stokesentinel.co.uk,https://www.stokesentinel.co.uk/news/uk-world-news/outrage-fund-raiser-family-rioter-9491800
20240818,1,,TAX_ETHNICITY;TAX_ETHNICITY_CHINESE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_CHINESE;EPU_POLICY;EPU_POLICY_WHITE_HOUSE;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_VICE_PRESIDENT;USPEC_POLICY1;EPU_POLICY_POLICY;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_FNCACT_NOMINEE;ECON_FOREIGNINVEST;WB_471_ECONOMIC_GROWTH;WB_1078_DETERMINANTS_OF_GROWTH;WB_1081_FINANCE_AND_GROWTH;WB_863_FDI_SPILLOVERS;TAX_FNCACT_CHIEF;WB_2670_JOBS;WB_1467_EDUCATION_FOR_ALL;WB_470_EDUCATION;WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS;WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET;TAX_ETHNICITY_AMERICANS;TAX_FNCACT_ANALYSTS;WB_698_TRADE;WB_135_TRANSPORT;WB_1174_WAREHOUSING_AND_STORAGE;WB_793_TRANSPORT_AND_LOGISTICS_SERVICES;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_346_COMPETITIVE_INDUSTRIES;WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS;WB_1281_MANUFACTURING;EPU_ECONOMY_HISTORIC;ECON_STOCKMARKET;ELECTION;ARMEDCONFLICT;EPU_CATS_NATIONAL_SECURITY;ECON_TRADE_DISPUTE;TAX_DISEASE;TAX_DISEASE_HYSTERIA;DEMOCRACY;GENERAL_HEALTH;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;,"1#China#CH#CH#35#105#CH;4#Xinquan, Fujian, China#CH#CH07#25.3548#116.612#-1933972;4#Shenzhen, Guangdong, China#CH#CH30#22.2#111.117#-1925267;1#United States#US#US#39.828175#-98.5795#US;2#Texas, United States#US#USTX#31.106#-97.6475#TX;4#Beijing, Beijing, China#CH#CH22#39.9289#116.388#-1898541;1#Singapore#SN#SN#1.366667#103.8#SN;4#Shanghai, Shanghai, China#CH#CH23#31.2222#121.458#-1924465;2#California, United States#US#USCA#36.17#-119.746#CA;3#White House, District Of Columbia, United States#US#USDC#38.8951#-77.0364#531871;2#Georgia, United States#US#USGA#32.9866#-83.6487#GA;4#Shandong, Jiangsu, China#CH#CH04#32.9793#118.852#11415469;1#Japan#JA#JA#36#138#JA",marko papic;donald trump,democratic national convention on;european union;xinquan america holdings;vital new material united states;white house;china council for the promotion of international,"-0.354191263282172,1.06257378984652,1.41676505312869,2.47933884297521,23.3766233766234,0.472255017709563","1193319812,1193319817,1193319818,1193319819,1193319820",cnbc.com,https://www.cnbc.com/2024/08/18/chinese-companies-are-investing-in-the-us-ahead-of-any-tariffs.html
20240818,1,,CRISISLEX_C07_SAFETY;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;EXHUMATION;TAX_FNCACT;TAX_FNCACT_MAN;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;AFFECT;SOC_GENERALCRIME;SECURITY_SERVICES;TAX_FNCACT_POLICE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;WB_2024_ANTI_CORRUPTION_AUTHORITIES;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2025_INVESTIGATION;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_1014_CRIMINAL_JUSTICE;WB_175_FERTILIZERS;WB_174_CROP_PRODUCTION;WB_435_AGRICULTURE_AND_FOOD_SECURITY;WB_1949_CLIMATE_SMART_AGRICULTURE;TAX_FNCACT_SPOKESMAN;ARREST;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_JAIL;TRIAL;TAX_FNCACT_ATTORNEY;,"3#Lenawee County, Michigan, United States#US#USMI#41.9#-84.0833#1622988;2#Michigan, United States#US#USMI#43.3504#-84.5603#MI;3#Michigan State Police, Michigan, United States#US#USMI#45.8411#-87.0189#2351894",dale warner;dale john warner;rene gonzalez;dee warner;mary chartier,associated press;michigan state police,"-2.72727272727273,1.51515151515152,4.24242424242424,5.75757575757576,23.9393939393939,0.303030303030303","1193319737,1193256452,1193277479,1193320810,1193325575,1193320812",tribtown.com,https://tribtown.com/2024/08/18/investigators-looking-for-long-missing-michigan-woman-find-human-remains-on-husbands-property/
20240818,1,,NATURAL_DISASTER;NATURAL_DISASTER_WILDFIRES;CRISISLEX_T01_CAUTION_ADVICE;DISASTER_FIRE;BORDER;GENERAL_GOVERNMENT;TAX_FNCACT;TAX_FNCACT_CITIZENS;TAX_FNCACT_OFFICIAL;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY;EPU_POLICY_AUTHORITIES;AFFECT;CRISISLEX_T04_INFRASTRUCTURE;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;TAX_DISEASE;TAX_DISEASE_OUTBREAK;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;GOV_LOCALGOV;URBAN;EVACUATION;CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED;AGRICULTURE;,"4#Istanbul, Istanbul, Turkey#TU#TU34#41.0186#28.9647#-755070;1#Turkey#TU#TU#39.059012#34.911546#TU;4#Bolu, Bolu, Turkey#TU#TU14#40.7358#31.6061#-739710;1#Moldova#MD#MD#47#29#MD;4#Mugla, Mugla, Turkey#TU#TU48#37.2181#28.3665#-765549;4#Kavaklidere, Van, Turkey#TU#TU65#37.9309#42.8156#10422231;4#Manisa, Manisa, Turkey#TU#TU45#38.612#27.4265#-764634;4#Chisinau, Chisinau, Moldova#MD#MD57#47.0056#28.8575#-2276223;4#Izmir, Izmir, Turkey#TU#TU35#38.4104#27.142#-755097",,embassy of the republic of moldova;ministry of internal affairs;ministry of foreign affairs,"-2.75229357798165,1.52905198776758,4.28134556574923,5.81039755351682,17.4311926605505,0.917431192660551","1193281843,1193336211,1193281502",moldpres.md,https://www.moldpres.md/en/news/2024/08/18/24006381
20240818,2,,TAX_ETHNICITY;TAX_ETHNICITY_RUSSIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_RUSSIAN;TAX_WORLDLANGUAGES_RUSSIA;TAX_FNCACT;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY;EPU_POLICY_AUTHORITIES;BORDER;AFFECT;EVACUATION;CRISISLEX_T09_DISPLACEDRELOCATEDEVACUATED;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES_UKRAINIAN;DRONES;,"1#Russia#RS#RS#60#100#RS;1#Ukraine#UP#UP#49#32#UP;4#Kursk, Kurskaya Oblast', Russia#RS#RS41#51.7373#36.1873#-2941648",,,"-7.14285714285714,0.793650793650794,7.93650793650794,8.73015873015873,23.8095238095238,0",,nytimes.com;nytimes.com,https://www.nytimes.com/2024/08/18/world/europe/a-city-of-blaring-sirens-fills-with-russians-who-fled-ukraines-advance.html<UDIV>https://www.nytimes.com/2024/08/18/world/europe/kursk-russia-ukraine-incursion.html
20240818,1,,TAX_WORLDBIRDS;TAX_WORLDBIRDS_GOOSE;TAX_FNCACT;TAX_FNCACT_SHERIFF;CRISISLEX_C07_SAFETY;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY;EPU_POLICY_AUTHORITIES;,"3#Center Village, Ohio, United States#US#USOH#40.1653#-82.8077#1060935;3#Delaware County, Ohio, United States#US#USOH#40.2667#-83.0002#1074033;2#Ohio, United States#US#USOH#40.3736#-82.7755#OH",,delaware county sheriff office;center village;sheriff office,"0.917431192660551,0.917431192660551,0,0.917431192660551,19.2660550458716,0",1193337517,myfox28columbus.com,https://myfox28columbus.com/news/local/authorities-reunite-runaway-bird-in-delaware-county-with-owner-after-search-over-weekend-delaware-county-sheriffs-office
20240818,1,,GEN_HOLIDAY;WB_135_TRANSPORT;WB_1817_CONGESTION;WB_162_TRANSPORT_ECONOMICS;DELAY;USPEC_UNCERTAINTY1;TRAFFIC;WB_1803_TRANSPORT_INFRASTRUCTURE;WB_167_PORTS;TAX_FNCACT;TAX_FNCACT_SPOKESPERSON;EDUCATION;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_SCHOOL;UNGP_FORESTS_RIVERS_OCEANS;WB_168_ROADS_AND_HIGHWAYS;WB_1809_HIGHWAYS;TAX_FNCACT_MANAGER;EPU_ECONOMY_HISTORIC;TAX_FNCACT_KING;AFFECT;PUBLIC_TRANSPORT;,"1#United Kingdom#UK#UK#54#-4#UK;4#Edinburgh, Edinburgh, City Of, United Kingdom#UK#UKU8#55.95#-3.2#-2595386;4#London, London, City Of, United Kingdom#UK#UKH9#51.5#-0.116667#-2601889;4#Wilmslow, Borough Of Cheshire East, United Kingdom#UK#UKZ7#53.3333#-2.23333#-2611787;4#Dover, Kent, United Kingdom#UK#UKG5#51.1333#1.3#-2594561",alice simpson;king cross james manning;dale hipkiss;kirk deighton;danny lawson;primrose hill,network rail,"0.3125,2.5,2.1875,4.6875,25.625,0.625",,wharfedaleobserver.co.uk,https://www.wharfedaleobserver.co.uk/news/national/24526442.drivers-warned-busiest-august-bank-holiday-getaway-since-2015/
20240818,1,,GENERAL_HEALTH;MEDICAL;TAX_FNCACT;TAX_FNCACT_DOCTOR;CRISISLEX_C03_WELLBEING_HEALTH;KILL;CRISISLEX_CRISISLEXREC;CRISISLEX_T02_INJURED;CRISISLEX_T03_DEAD;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;SOC_SUICIDE;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_NAGAR;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_2433_CONFLICT_AND_VIOLENCE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2456_DRUGS_AND_NARCOTICS;TAX_DISEASE;TAX_DISEASE_DRUG_OVERDOSE;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;TAX_FNCACT_DOCTORS;UNGP_FORESTS_RIVERS_OCEANS;,"4#New Delhi, Delhi, India#IN#IN07#28.6#77.2#-2106102;4#Rajpur, West Bengal, India#IN#IN28#22.4125#88.4181#437038;4#Delhi, Delhi, India#IN#IN07#28.6667#77.2167#-2094230",raj ghonya;gautam nagar,india institute of medical sciences,"-6.05095541401274,1.59235668789809,7.64331210191083,9.23566878980892,25.796178343949,0.318471337579618","1193241721,1193302128,1193302162,1193302165,1193304750,1193302300,1193302301,1193242576,1193302479,1193302498,1193302499,1193302500,1193250488,1193302508,1193302843,1193302847",menafn.com,https://menafn.com/1108572510/Doctor-Commits-Suicide-In-Delhi-Drug-Overdose-Suspected
