total_numarts,first_sourceurl,title,text,themes,locations,persons,organizations
101,http://www.chinadaily.com.cn/www.chinadaily.com.cn/a/202408/13/WS66ba9d15a3104e74fddb99ec.html,Connecting China Connecting the World,"Sorry, the page you requested was not found.

Please check the URL for proper spelling and capitalization. If you're having trouble locating a destination on Chinadaily.com.cn, try visiting the Chinadaily home page

Copyright 1995 - . All rights reserved. The content (including but not limited to text, photo, multimedia information, etc) published in this site belongs to China Daily Information Co (CDIC). Without written authorization from CDIC, such content shall not be republished or used in any form. Note: Browsers with 1024*768 or higher resolution are suggested for this site.

License for publishing multimedia online 0108263

Registration Number: 130349

FOLLOW US","[EPU_CATS_REGULATION,WB_678_DIGITAL_GOVERNMENT,WB_670_ICT_SECURITY,WB_2372_AUTHENTICATION_AND_AUTHORIZATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES]",[1#China#CH#CH#35#105#C],[],[china daily information c]
99,https://www.tenterfieldstar.com.au/story/8722421/granny-flats-solving-australias-housing-crisis-affordably/?cs=13317,Why it's crucial to have tough granny flat conversations,"There can be a myriad of benefits to the once humble granny flat. They can offer secure and comfortable homes that are purpose-built for ageing, ease social isolation and enable multiple generations to pool their financial resources and provide care and support to each other.

While many people think of granny flats as a second, self-contained, dwelling built on someone else's property (the real estate definition of a granny flat) granny flat arrangements are actually far broader and can include a whole home or part of a home you don't own but have a right to live in.

The key point is you don't have legal ownership: if you do it is not considered a granny flat arrangement. Common ways granny flat arrangements are created are: the parents transfer their home to their children for a granny flat right; parents pay for a granny flat to be built on the children's property; or the parents and children pool their funds and purchase a new property in the children's names.

In July 2021, the federal government removed the capital gains tax liability associated with some granny flat arrangements. Prior to this the Australian Tax Office considered granny flat arrangements as a D1 capital gains tax event, with the establishment of a granny flat arrangement subject to capital gains tax.

It often meant a nasty surprise for children when they lodged their tax return and found out they had a CGT liability of hundreds of thousands of dollars. To qualify for the CGT exemption there are a number of criteria you need to meet, including: the parents are over pension age (67) or disabled for at least the next 12 months; the property is owned by an individual (not a company or trust); rent is not charged; the right to occupy is intended to be for life and the agreement is in writing.

Beyond tax, granny flat arrangements can have significant implications when it comes to your pension entitlement and cost of aged care. If you are thinking about creating a granny flat arrangement, it is crucial you consider the consequences now and in the future.

The amount you pay for your granny flat determines whether you are classified as a home owner for pension purposes. If the amount you pay is $252,000 or less, Centrelink will categorise you as a non-home owner, the granny flat will be included in your pension assets and you can qualify for rent assistance. If the amount you pay exceeds $252,000, Centrelink will classify you as a home owner, the value of the granny flat will be exempt from the pension asset test but you won't be eligible for rent assistance.

The amount you pay for a granny flat is normally taken to be the market price. As they are family arrangements it can be hard to determine a different value. However, if the amount you pay exceeds the purchase price (where a home is being bought or transferred), the cost of construction (where you are building a granny flat) or if Centrelink suspects you are trying to gain a social security advantage then it will apply a reasonableness test to the amount you have paid.

The reasonableness test multiplies the annual couple rate of pension ($43,753) by a factor based on your age. For example, if you are 73, the reasonableness test factor is 14.25, meaning the reasonable amount would be just over $623,477. If you are 83 the reasonableness factor is 7.65, making the reasonable amount $334,709. If you pay more than the reasonable amount then the amount above will be considered a gift.

If you are thinking about a granny flat arrangement as an alternative to moving into an aged care home, it's important to know if you leave within five years of creating a granny flat, and the move was reasonably foreseeable, the granny flat can be treated as a gift. The gift can affect both the calculation of your pension and your aged care fees.

Of all the downsizing options, granny flats, with their unique legal and financial intricacies, are the most complex. Adding to the complexity is they are family arrangements. Most people move into these arrangements with good intentions and high hopes for harmonious intergenerational living.

Discussing the day-to-day responsibilities of household expenses such as food, utilities and insurances and how domestic chores will be shared can help avoid disputes due to different expectations. Dealing with the more thorny issues like what happens if the children divorce, become sick (or die) or default on their mortgage can ensure there is a plan for such events. Of course, the toughest topic is when will the arrangement end, which may be because the parents need to move into aged care.","[CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,ECON_HOUSING_PRICES,TAX_FNCACT,TAX_FNCACT_CHILDREN,GENERAL_GOVERNMENT,EPU_POLICY,EPU_POLICY_GOVERNMENT,ECON_TAXATION,USPEC_POLICY1,EPU_POLICY_TAX,EPU_CATS_TAXES,TAX_ETHNICITY,TAX_ETHNICITY_AUSTRALIAN,ECON_WORLDCURRENCIES,ECON_WORLDCURRENCIES_DOLLARS,RETIREMENT,DISABILITY,TAX_ECON_PRICE,CRISISLEX_C07_SAFETY,EPU_CATS_ENTITLEMENT_PROGRAMS,AFFECT,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_723_PUBLIC_ADMINISTRATION,WB_2085_PUBLIC_SECTOR_DOWNSIZING,WB_2054_SIZE_OF_THE_PUBLIC_SERVICE,WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,WB_1973_FINANCIAL_RISK_REDUCTION,WB_435_AGRICULTURE_AND_FOOD_SECURITY,WB_337_INSURANCE,WB_1967_AGRICULTURAL_RISK_AND_SECURITY,SICKENED,WB_336_NON_BANK_FINANCIAL_INSTITUTIONS,WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,WB_612_HOUSING_FINANCE,WB_332_CAPITAL_MARKETS,WB_2690_CATEGORIES_OF_EMPLOYMENT,WB_2670_JOBS,WB_2689_JOBS_DIAGNOSTICS,WB_2896_RETIREMENT,TAX_FNCACT_PRINCIPAL]",[1#Australia#AS#AS#-25#135#A],[],[australian tax offic]
60,https://japan.cnet.com/release/31011473/,わくわくさんが特別審査員の京進「手作りおもちゃコンテスト2024」応募数過去最多の、全国167チーム・511名の中から最終選考49チームが決定一般投票のオーディエンス賞,"当サイトは最新ブラウザでの閲覧を推奨します。

Copyright (c) 2024 ASAHI INTERACTIVE, Inc. All rights reserved. No reproduction or republication without written permission.","[TAX_ETHNICITY,TAX_ETHNICITY_JAPANESE,TAX_WORLDLANGUAGES,TAX_WORLDLANGUAGES_JAPANESE,WB_1921_PRIVATE_SECTOR_DEVELOPMENT,WB_405_BUSINESS_CLIMATE,WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,WB_2530_BUSINESS_ENVIRONMENT,EPU_CATS_REGULATION,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_851_INTELLECTUAL_PROPERTY_RIGHTS,WB_1042_TRADEMARKS,WB_1039_PROPERTY_LAWS_AND_REGULATIONS]","[1#United States#US#US#39.828175#-98.5795#US,1#Japan#JA#JA#36#138#J]",[],"[a red ventures company,united state]"
54,https://japan.cnet.com/release/31011107/,"太陽電池市場、2032年に5億9,000万米ドル規模到達見込み","当サイトは最新ブラウザでの閲覧を推奨します。

Copyright (c) 2024 ASAHI INTERACTIVE, Inc. All rights reserved. No reproduction or republication without written permission.","[TAX_ETHNICITY,TAX_ETHNICITY_JAPANESE,TAX_WORLDLANGUAGES,TAX_WORLDLANGUAGES_JAPANESE,WB_1921_PRIVATE_SECTOR_DEVELOPMENT,WB_405_BUSINESS_CLIMATE,WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,WB_2530_BUSINESS_ENVIRONMENT,EPU_CATS_REGULATION,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_851_INTELLECTUAL_PROPERTY_RIGHTS,WB_1042_TRADEMARKS,WB_1039_PROPERTY_LAWS_AND_REGULATIONS]","[1#United States#US#US#39.828175#-98.5795#US,1#Japan#JA#JA#36#138#J]",[],"[united states,a red ventures compan]"
54,https://www.irvinetimes.com/news/national/24515542.investigation-launched-boardmasters-festival-crowd-surge/,Investigation launched into Boardmasters festival after crowd surge,"Seven festivalgoers were injured including a young woman who suffered a fractured knee during the fan surge on Friday at a DJ stage at the music event in Newquay.

On Saturday, The Point stage was reopened after a “multi-agency review” was undertaken and the festival continued as scheduled until Sunday.

Police called it “an isolated incident”.

On Tuesday, a spokesman for Cornwall council said: “The council’s public protection service is currently investigating the incident that took place at the Boardmasters festival on Friday August 9.

“We cannot comment further while this investigation is ongoing.”

In response, a spokesman for the festival said: “The safety of everyone at Boardmasters is our first priority.

“As part of our event debrief process, we will be working closely with our local authority partners to examine the circumstances of Friday’s incident and ensure relevant learnings are included in the planning process for future events.”

On Friday, festival organisers announced that the planned set by DJ and producer Sammy Virji was cancelled and the stage was “closed to allow onsite teams to respond to an incident in the audience”.

A later statement said: “Seven attendees were transferred to hospital nearby for precautionary examination after presenting to our medical team.

“They have been treated for minor injuries and have all since been discharged.”

Devon and Cornwall Police said the crowd surge “left a small number of attendees injured”.

The force said at the weekend: “Contrary to speculation, we can confirm that there have been no deaths as a result of this incident.”

Dancer Jade Brooks, 23, from Yorkshire, told the PA news agency that the crowd had been “pushed back and caused everyone to fall with me being the bottom person and I had about 10 people fall onto my legs”.

She says she went to hospital and an X-ray revealed she had a fracture in her knee, and will spend the rest of her Cornwall holiday on crutches.

Ms Brooks said: “We came to Cornwall for a two-week holiday like we do every year and this was in the middle of our holiday.

“Now this second week of the holiday is ruined, we can’t do what we usually do and I’m going to miss out on all family activities.”

Virji said he was “gutted” by the cancelling of his set, and added that “safety should always come first”.

The police have been contacted for an additional response.","[WOUND,CRISISLEX_CRISISLEXREC,CRISISLEX_C03_WELLBEING_HEALTH,CRISISLEX_T02_INJURED,TAX_FNCACT,TAX_FNCACT_WOMAN,MANMADE_DISASTER_IMPLIED,SECURITY_SERVICES,TAX_FNCACT_POLICE,CRISISLEX_C07_SAFETY,TAX_FNCACT_SPOKESMAN,UNGP_CRIME_VIOLENCE,WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,WB_2025_INVESTIGATION,WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,WB_1014_CRIMINAL_JUSTICE,TAX_FNCACT_PRODUCER,GENERAL_HEALTH,MEDICAL,SOC_POINTSOFINTEREST,SOC_POINTSOFINTEREST_HOSPITAL,WB_1428_INJURY,WB_1406_DISEASES,WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,KILL,TAX_FNCACT_DANCER,GEN_HOLIDAY]","[4#Newquay, Cornwall, United Kingdom#UK#UKC6#50.4167#-5.08333#-260405]",[sammy virj],[cornwall polic]
51,https://www.portstephensexaminer.com.au/story/8727228/female-student-one-of-the-victims-after-two-bodies-discovered/?cs=9676,Chinese student identified as victim of horror stabbing,"Advertisement

Ad

Get the latest Nelson Bay news in your inbox

Sign up for our newsletter to stay up to date.

Email address

We care about the protection of your data. Read our Privacy Policy.

Advertisement

Ad","[WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,WB_2025_INVESTIGATION,WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,WB_1014_CRIMINAL_JUSTICE,KILL,SECURITY_SERVICES,TAX_FNCACT,TAX_FNCACT_POLICE,CRISISLEX_C07_SAFETY,TAX_FNCACT_WOMAN,CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,CRISISLEX_T03_DEAD,MANMADE_DISASTER_IMPLIED,CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,EPU_CATS_MIGRATION_FEAR_FEAR,TAX_MILITARY_TITLE,TAX_MILITARY_TITLE_OFFICERS,TAX_FNCACT_OFFICERS,TAX_FNCACT_MAN,SOC_GENERALCRIME,TAX_FNCACT_DETECTIVES,TAX_DISEASE,TAX_DISEASE_WOUNDS,TAX_ETHNICITY,TAX_ETHNICITY_CHINESE,TAX_WORLDLANGUAGES,TAX_WORLDLANGUAGES_CHINESE,TAX_FNCACT_STUDENT,MEDIA_MSM,TAX_FNCACT_JOURNALIST,TAX_FNCACT_CORRESPONDENT,USPEC_POLITICS_GENERAL1]","[4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-1603135,1#China#CH#CH#35#105#C]",[carla mascarenha],[burwood police are]
50,https://www.naroomanewsonline.com.au/story/8727228/female-student-one-of-the-victims-after-two-bodies-discovered/?cs=2708,Chinese student identified as victim of horror stabbing,"Police have named the 21-year-old woman who was stabbed to death in a Sydney apartment as Xiaoting Wan.

The young student from China was one of two dead people discovered after a routine welfare check at a NSW building complex on August 12.

Emergency services were called just after 9.45am on August 12 to the courtyard of a building on Conder Street in Burwood in Sydney's inner west following reports of a concern for welfare.

Officers attached to Burwood Police Area Command arrived to find the body of a man.

A crime scene was established and detectives commenced an investigation into the circumstances surrounding the incident.

Following inquiries, police attended a unit in the building complex where they discovered the body of the 21-year-old woman with multiple stab wounds..

Superintendent Christine McDonald, Commander of Burwood Police Area Command, said this incident had greatly affected the Burwood community.

""There are many people in the Burwood and wider Sydney community who have been affected by the death of Xiaoting.

""She, like many international students, came to this country for education and opportunity, and for her life to end like this is tragic."" Det C/Supt McDonald said.

""I urge anyone affected by the deaths to attend a vigil, which is being held later this month, to support each other through this time.""

Police say the man and woman were known to each other.","[WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,WB_2025_INVESTIGATION,WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,WB_1014_CRIMINAL_JUSTICE,KILL,SECURITY_SERVICES,TAX_FNCACT,TAX_FNCACT_POLICE,CRISISLEX_C07_SAFETY,TAX_FNCACT_WOMAN,CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,CRISISLEX_T03_DEAD,MANMADE_DISASTER_IMPLIED,CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,EPU_CATS_MIGRATION_FEAR_FEAR,TAX_MILITARY_TITLE,TAX_MILITARY_TITLE_OFFICERS,TAX_FNCACT_OFFICERS,TAX_FNCACT_MAN,SOC_GENERALCRIME,TAX_FNCACT_DETECTIVES,TAX_DISEASE,TAX_DISEASE_WOUNDS,TAX_ETHNICITY,TAX_ETHNICITY_CHINESE,TAX_WORLDLANGUAGES,TAX_WORLDLANGUAGES_CHINESE,TAX_FNCACT_STUDENT,MEDIA_MSM,TAX_FNCACT_JOURNALIST,TAX_FNCACT_CORRESPONDENT,USPEC_POLITICS_GENERAL1]","[1#China#CH#CH#35#105#CH,4#Sydney, New South Wales, Australia#AS#AS02#-33.8833#151.217#-160313]",[carla mascarenha],[burwood police are]
49,https://japan.cnet.com/release/31011147/,"トレンチ掘削機市場、2032年に12億3,590万米ドル規模到達見込み","当サイトは最新ブラウザでの閲覧を推奨します。

Copyright (c) 2024 ASAHI INTERACTIVE, Inc. All rights reserved. No reproduction or republication without written permission.","[TAX_ETHNICITY,TAX_ETHNICITY_JAPANESE,TAX_WORLDLANGUAGES,TAX_WORLDLANGUAGES_JAPANESE,WB_1921_PRIVATE_SECTOR_DEVELOPMENT,WB_405_BUSINESS_CLIMATE,WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,WB_2530_BUSINESS_ENVIRONMENT,EPU_CATS_REGULATION,WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_851_INTELLECTUAL_PROPERTY_RIGHTS,WB_1042_TRADEMARKS,WB_1039_PROPERTY_LAWS_AND_REGULATIONS]","[1#Japan#JA#JA#36#138#JA,1#United States#US#US#39.828175#-98.5795#U]",[],"[a red ventures company,united state]"
45,https://www.thewestmorlandgazette.co.uk/news/national/uk-today/24515744.northern-lights-visible-uk-week---see/,Northern Lights to be visible in UK this week - see when,"Stargazers across the country have been lucky enough to catch a glimpse of the Northern Lights, also known as the aurora borealis, several times already in 2024.

The most recent sightings were reported over the weekend.

If you missed the Northern Lights over the weekend, don't worry, you will have one more chance to see them this week before they begin to fade.

Best time to see the Northern Lights

The Northern Lights may be visible in parts of the UK overnight on Tuesday (August 13 to 14), according to the Met Office.

The Met Office Space Weather forecast reads: ""Ongoing Coronal Mass Ejection (CME) influence will wane slowly through Tuesday 13th Aug.

""Another CME enhancement is possible early 13 Aug, this will bring a chance of visible aurora to Scotland and parts of Northern England overnight.

""During 14 Aug activity should return back to background levels, with significant enhancements currently unlikely and any visible aurora restricted to far northern Scotland.""

Best places to see the Northern Lights in the UK this week

According to the Space Weather forecast from the Met Office, the best spots to see the Northern Lights on Tuesday night/Wednesday morning (August 13 to 14) will be Scotland and northern England.

Northern Lights activity is set to return to ""background levels"" on Wednesday (August 14) for most of the UK, according to the Met Office, with further ""significant enhancements"" unlikely.

However, people in far northern Scotland may still be able to catch a glimpse of the spectacle after Tuesday night.

RECOMMENDED READING:

Perseid meteor shower peaks this week - how to see it

WATCH: Family captures 'bright shooting star' on doorbell camera

These are the 7 hotspots you need to go to see the Northern Lights this year

What are the Northern Lights?

The Northern Lights are caused by charged particles from the sun hitting gases in the Earth's atmosphere.

The colours occur due to different gases in the Earth's atmosphere being energised by the charged particles.

Nitrogen and oxygen are the two most common gases in the atmosphere, with nitrogen emitting purple, blue and pink colours and oxygen emitting green.","[TAX_WORLDFISH,TAX_WORLDFISH_STARGAZERS,EPU_CATS_MIGRATION_FEAR_FEAR,WB_569_HYDROMET_SERVICES,WB_568_CLIMATE_SERVICES,WB_567_CLIMATE_CHANGE]","[4#Northern England, Northumberland, United Kingdom#UK#UKJ6#54.9167#-2.33333#-2604273,1#United Kingdom#UK#UK#54#-4#U]",[],[office space weathe]
44,https://www.clactonandfrintongazette.co.uk/news/national/uk-today/24515744.northern-lights-visible-uk-week---see/,Northern Lights to be visible in UK this week - see when,"Stargazers across the country have been lucky enough to catch a glimpse of the Northern Lights, also known as the aurora borealis, several times already in 2024.

The most recent sightings were reported over the weekend.

If you missed the Northern Lights over the weekend, don't worry, you will have one more chance to see them this week before they begin to fade.

Best time to see the Northern Lights

The Northern Lights may be visible in parts of the UK overnight on Tuesday (August 13 to 14), according to the Met Office.

The Met Office Space Weather forecast reads: ""Ongoing Coronal Mass Ejection (CME) influence will wane slowly through Tuesday 13th Aug.

""Another CME enhancement is possible early 13 Aug, this will bring a chance of visible aurora to Scotland and parts of Northern England overnight.

""During 14 Aug activity should return back to background levels, with significant enhancements currently unlikely and any visible aurora restricted to far northern Scotland.""

Best places to see the Northern Lights in the UK this week

According to the Space Weather forecast from the Met Office, the best spots to see the Northern Lights on Tuesday night/Wednesday morning (August 13 to 14) will be Scotland and northern England.

Northern Lights activity is set to return to ""background levels"" on Wednesday (August 14) for most of the UK, according to the Met Office, with further ""significant enhancements"" unlikely.

However, people in far northern Scotland may still be able to catch a glimpse of the spectacle after Tuesday night.

RECOMMENDED READING:

Perseid meteor shower peaks this week - how to see it

WATCH: Family captures 'bright shooting star' on doorbell camera

These are the 7 hotspots you need to go to see the Northern Lights this year

What are the Northern Lights?

The Northern Lights are caused by charged particles from the sun hitting gases in the Earth's atmosphere.

The colours occur due to different gases in the Earth's atmosphere being energised by the charged particles.

Nitrogen and oxygen are the two most common gases in the atmosphere, with nitrogen emitting purple, blue and pink colours and oxygen emitting green.","[TAX_WORLDFISH,TAX_WORLDFISH_STARGAZERS,EPU_CATS_MIGRATION_FEAR_FEAR,WB_569_HYDROMET_SERVICES,WB_568_CLIMATE_SERVICES,WB_567_CLIMATE_CHANGE]","[1#United Kingdom#UK#UK#54#-4#UK,4#Northern England, Northumberland, United Kingdom#UK#UKJ6#54.9167#-2.33333#-260427]",[],[office space weathe]
